what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1284681455341
stopped,bundle,org.eclipse.wst.ws.parser,1.0.402.v200901220107,"org.eclipse.wst.ws.parser",1284681455341
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.2.v201001260400,"org.eclipse.datatools.enablement.oda.ws.ui",1284681455341
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.2.v201001131420,"org.eclipse.datatools.enablement.oda.ws",1284681455341
stopped,bundle,org.eclipse.wst.wsdl,1.2.2.v200911111930,"org.eclipse.wst.wsdl",1284681455341
stopped,bundle,org.eclipse.birt.report.data.oda.xml,2.5.2.v20100205,"org.eclipse.birt.report.data.oda.xml",1284681455341
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.1.v201001191820,"org.eclipse.datatools.enablement.oda.xml.ui",1284681455341
stopped,bundle,org.eclipse.datatools.enablement.oda.xml,1.2.1.v201001151620,"org.eclipse.datatools.enablement.oda.xml",1284681455341
stopped,bundle,org.eclipse.stp.im.in.bpmn,1.0.0.201002010854,"org.eclipse.stp.im.in.bpmn",1284681455341
stopped,bundle,org.eclipse.stp.im.runtime.bpel,1.0.0.201002010854,"org.eclipse.stp.im.runtime.bpel",1284681455341
stopped,bundle,org.eclipse.stp.im.runtime.jbi.smx,1.0.0.201002010854,"org.eclipse.stp.im.runtime.jbi.smx",1284681455341
